gmina;Rok;nr_sprawy;lokalizacja;nr_dzialki;pow_kamieni; wartosc_kamieni 
Rutka Taratak;2024;1;Pobondzie;15,16,17,18,19;1,82; 4,978.00 z? 
Przero?l;2024;2;Morgi;177/3,177/4,184,185;9,47; 19,320.00 z? 
Suwa?ki;2024;3;Osowa;103/6,104/7;3,2; 8,640.00 z? 
Krypno;2024;4;Bajki Zalesie;"52/1,270,612/1,583
23/1";6,65; 9,970.00 z? 
Filipów;2024;6;Czarne;129/110;4,9; 7,840.00 z? 
Suwa?ki;2024;7;Potasznia;68,69,70/2,71/2,72/2;5,58; 8,930.00 z? 
Krypno;2024;8;D?bina;"168
102,103,109/1";7,5; 7,500.00 z? 
Przero?l;2024;9;Rakówek;89/1,89/2;4,89; 9,490.00 z? 
Barg?ów Ko?cielny;2024;10;Pomiany;80,81;1,3; 1,650.00 z? 
Barg?ów Ko?cielny;2024;11;Pomiany;186/1;1,7; 2,150.00 z? 
Zawady;2024;12;Targonie Krytu?y;53/1,24;2,52; 4,290.00 z? 
Filipów;2024;14;Filipów Czwarty;904,905,906;9,31; 14,900.00 z? 
Jeleniewo;2024;15;Krzemianka;"1/2
313,320";7,96; 9,000.00 z? 
Przero?l;2024;16;Kruszki;"49
106/3";5,53; 8,850.00 z? 
Przero?l;2024;16;Ha?cza;"49
106/3";5,53; 8,850.00 z? 
Zawady;2024;17;Targonie Krytu?y;"179/2,
47/1,20/3,20/5,20/6,20/7";5,33; 7,870.00 z? 
Zawady;2024;17;Konopki Pokrzywnica;"179/2,
47/1,20/3,20/5,20/6,20/7";5,33; 7,870.00 z? 
Baka?arzewo;2024;18;Suchorzec;152,153,154/1;3,8; 6,080.00 z? 
Tykocin;2024;19;Sawino;"58/5
232/1,232/3,232/4";9,8; 8,300.00 z? 
Tykocin;2024;19;Rz?dziany;"58/5
232/1,232/3,232/4";9,8; 8,300.00 z? 
Suwa?ki;2024;20;Potasznia;293/1;1,17; 2,570.00 z? 
Jeleniewo;2024;21;?ywa Woda;104,105/2,106/2;9,7; 15,520.00 z? 
Jeleniewo;2024;22;Krzemianka;15/2;3; 5,490.00 z? 
Sejny;2024;23;Bosse;18/2,48,52;10; 18,070.00 z? 
Wi?ajny;2024;24;Wi?ajny;428;6,08; 23,080.00 z? 
Jeleniewo;2024;25;Zarzecze Jeleniewskie;16/6,16/7,43/3;8,68; 19,500.00 z? 
Filipów;2024;26;Garbas Drugi;111/32,57;10; 14,000.00 z? 
Filipów;2024;27;Piecki;50/2;6; 13,800.00 z? 
Suwa?ki;2024;28;Potasznia;267/6,268/2;3,2; 4,480.00 z? 
Nowy Dwór;2024;29;Chworo?ciany;27/1;3,38; 13,860.00 z? 
Pu?sk;2024;31;Krejwiany;130/7;8,12; 8,000.00 z? 
Sokó?ka;2024;32;Kra?niany;262/4,797,800;7,96; 9,070.00 z? 
Jeleniewo;2024;35;Okr?g?e;91/2,92/2,118,184;3,8; 5,320.00 z? 
Lipsk;2024;36;Dulkowszczyzna;"1/1
320";4,02; 4,560.00 z? 
Krasnopol;2024;37;Krasne;19/25;4,16; 13,020.00 z? 
D?browa Bia?ostocka;2024;38;Reszkowce;108,451;6,17; 9,800.00 z? 
Tykocin;2024;39;?opuchowo;301/1,302/1,303/1,323,553;5,18; 6,050.00 z? 
Micha?owo;2024;40;Szymki;61/1;10; 15,000.00 z? 
Gródek;2024;41;Jary?ówka;50;10; 15,000.00 z? 
Zab?udów;2024;42;Folwarki Wielkie;110/3;10; 15,000.00 z? 
Gródek;2024;43;Narejki;227/7;7; 10,500.00 z? 
Rutki;2024;44;Szlasy Lipno;"13/3,13/4
502";5,5; 8,250.00 z? 
Zab?udów;2024;45;Folwarki Ma?e;109,111/1,112;7; 10,500.00 z? 
Jeleniewo;2024;46;?ywa Woda;226/4,226/25,226/32,264;3,4; 10,100.00 z? 
Sejny;2024;47;Ber?a?owce;6,8,9/2,51,52,55;9,49; 17,120.00 z? 
Przero?l;2024;48;Morgi;204,205,206,207;5,33; 9,420.00 z? 
Filipów;2024;49;Zusno;83,86,203/2,448,453,454,455;9; 10,800.00 z? 
Filipów;2024;51;Garbas Drugi;87/22;10; 16,000.00 z? 
Filipów;2024;52;Garbas Drugi;34/26;7,5; 12,000.00 z? 
Szypliszki;2024;53;Zaboryszki;2/1,2/5;8,6; 13,760.00 z? 
Suwa?ki;2024;54;Krzywe;140,158;2,93; 4,690.00 z? 
Suwa?ki;2024;55;Zielone Kamedulskie;92;9,7; 15,520.00 z? 
Filipów;2024;56;Mieruniszki;153;2; 3,200.00 z? 
Jeleniewo;2024;57;Okr?g?e;107;5; 11,250.00 z? 
Filipów;2024;58;Nowe Motule;313/4,346/5,349/3;4,2; 6,720.00 z? 
Filipów;2024;59;Jemieliste;64/3;9,9; 15,840.00 z? 
Jeleniewo;2024;60;Rutka;260,261;9,6; 15,360.00 z? 
Jeleniewo;2024;61;Prudziszki;18/1,18/8,19;8,66; 16,890.00 z? 
Filipów;2024;62;Garbas Drugi;82/13;8; 12,800.00 z? 
Jeleniewo;2024;63;Zarzecze Jeleniewskie;14;1; 2,010.00 z? 
Jeleniewo;2024;64;Jeleniewo;"399
37/3";8,12; 11,160.00 z? 
Filipów;2024;65;Garbas Drugi;91/16;3; 2,700.00 z? 
Przero?l;2024;66;Blenda;"133/3,203/1,212
1409";4,6; 7,360.00 z? 
Jeleniewo;2024;67;Gulbieniszki;82/2,106/1,106/2;5,5; 8,800.00 z? 
Przero?l;2024;69;Nowa Przero?l;"685/2,686,687,695/1,697/1,
697/2,708,710,711";8,52; 19,170.00 z? 
Suwa?ki;2024;70;Bia?a Woda;192/4,216,217;6,2; 13,950.00 z? 
Barg?ów Ko?cielny;2024;71;Barg?ów Dworny;"417
237/2
";7; 15,372.00 z? 
Przero?l;2024;72;Morgi;40/1,40/2,41;5,6; 7,840.00 z? 
Krasnopol;2024;73;Krasnopol;1912,1913;2,34; 6,450.00 z? 
Przero?l;2024;74;Przero?l;2719;1,36; 2,040.00 z? 
Augustów;2024;75;Miko?ajówek;124,125/1;4,16; 6,660.00 z? 
Krasnopol;2024;76;Buda Ruska;"148 
40/6 ";3,6; 9,220.00 z? 
Barg?ów Ko?cielny;2024;78;?robki;5/1,5/3;7,01; 18,180.00 z? 
Jeleniewo;2024;79;Rutka;74;6,6; 13,860.00 z? 
Pu?sk;2024;80;Wo?y?ce;"
116";1,52; 2,280.00 z? 
Przerosl, Jeleniewo;2024;81;Zarzecze Jeleniewskie;"154,155,
34/4";5,8; 12,180.00 z? 
Raczki;2024;82;Sucha Wie?;278,279,314/4;10; 14,000.00 z? 
Raczki;2024;83;Sucha Wie?;"309/5,313/3,348/3
4/4";7,45; 17,270.00 z? 
Giby;2024;84;Pomorze;174,175/1,190;7,14; 9,430.00 z? 
Sejny;2024;85;Po?kuny;"1/2
32";3,6; 6,130.00 z? 
Filipów;2024;86;Huta;"24,26,50/1,
117";4,2; 9,030.00 z? 
Baka?arzewo;2024;87;Kamionka Poprzeczna;"32,63,64
9/6";8,69; 18,980.00 z? 
Suwa?ki;2024;88;Korobiec;"70
36";6,15; 14,180.00 z? 
Baka?arzewo;2024;89;Nowa Wie?;110/2,122/1,127;8,19; 15,810.00 z? 
Pu?sk;2024;90;Trakiszki;24;3,5; 3,850.00 z? 
Suwa?ki;2022;5;Turówka Nowa;43;4,66; 17,000.00 z? 
Sejny;2022;7;Ho?ny Wolmera;309;6,92; 13,180.00 z? 
Pu?sk;2022;8;Wo?y?ce;121;2,88; 5,480.00 z? 
Przero?l;2022;9;?anowicze Du?e;43, 45;5,42; 8,830.00 z? 
Sejny;2022;11;Bosse;9;4,15; 5,590.00 z? 
Micha?owo;2022;12;Nowa Wola;28, 30, 453, 697;9,95; 15,300.00 z? 
Pu?sk;2022;13;Szo?tany;200;4,5; 12,500.00 z? 
Sejny;2022;14;Krejwi?ce;19/1, 21/1, 31, 33, 34;6,39; 8,630.00 z? 
